subset,question_mode,metric_name,model,mean_score
B1,qa,answer_relevance,deepseek-v4,5.0
B1,qa,answer_relevance,deepseek-v4-pro,5.0
B1,qa,answer_relevance,minimax,4.2
B1,qa,faithfulness,deepseek-v4,5.0
B1,qa,faithfulness,deepseek-v4-pro,5.0
B1,qa,faithfulness,minimax,4.0
B1,qa,factual_accuracy,deepseek-v4,5.0
B1,qa,factual_accuracy,deepseek-v4-pro,5.0
B1,qa,factual_accuracy,minimax,4.0
B1,qa,logical_coherence,deepseek-v4,5.0
B1,qa,logical_coherence,deepseek-v4-pro,5.0
B1,qa,logical_coherence,minimax,4.4
B1,qa,completeness,deepseek-v4,5.0
B1,qa,completeness,deepseek-v4-pro,4.8
B1,qa,completeness,minimax,4.0
Bfull,qa,answer_relevance,deepseek-v4,5.0
Bfull,qa,answer_relevance,deepseek-v4-pro,5.0
Bfull,qa,answer_relevance,minimax,3.375
Bfull,qa,faithfulness,deepseek-v4,5.0
Bfull,qa,faithfulness,deepseek-v4-pro,5.0
Bfull,qa,faithfulness,minimax,3.625
Bfull,qa,factual_accuracy,deepseek-v4,5.0
Bfull,qa,factual_accuracy,deepseek-v4-pro,5.0
Bfull,qa,factual_accuracy,minimax,3.625
Bfull,qa,logical_coherence,deepseek-v4,5.0
Bfull,qa,logical_coherence,deepseek-v4-pro,5.0
Bfull,qa,logical_coherence,minimax,3.25
Bfull,qa,completeness,deepseek-v4,5.0
Bfull,qa,completeness,deepseek-v4-pro,5.0
Bfull,qa,completeness,minimax,3.0
