model_name,num_questions,question_mode,estimated_difficulty,semantic_accuracy,exact_match,f1,precision,recall,rouge_l,bleu,bertscore,semantic_similarity,accuracy,invalid_rate
deepseek-v4,3,qa,7,,,,,,,,,,,
deepseek-v4,4,qa,8,,,,,,,,,,,
deepseek-v4,2,qa,3,,,,,,,,,,,
deepseek-v4,4,qa,5,,,,,,,,,,,
deepseek-v4,1,qa,2,,,,,,,,,,,
deepseek-v4,2,qa,6,,,,,,,,,,,
deepseek-v4,8,multiple_choice,2,,,,,,,,,,,
deepseek-v4,3,multiple_choice,6,,,,,,,,,,,
deepseek-v4,1,qa,4,,,,,,,,,,,
deepseek-v4,2,multiple_choice,9,,,,,,,,,,,
deepseek-v4,2,multiple_choice,4,,,,,,,,,,,
deepseek-v4,2,multiple_choice,3,,,,,,,,,,,
deepseek-v4,1,qa,9,,,,,,,,,,,
