subset,question_mode,metric_name,model,mean_score
B1,qa,semantic_accuracy,deepseek-v4,0.375
B1,qa,semantic_accuracy,deepseek-v4-pro,0.5
B1,qa,semantic_accuracy,minimax,0.25
B1,qa,exact_match,deepseek-v4,0.0
B1,qa,exact_match,deepseek-v4-pro,0.0
B1,qa,exact_match,minimax,0.0
B1,qa,f1,deepseek-v4,0.5152333348829636
B1,qa,f1,deepseek-v4-pro,0.45885841515687736
B1,qa,f1,minimax,0.23553656192204478
B1,qa,precision,deepseek-v4,0.5524371845097406
B1,qa,precision,deepseek-v4-pro,0.5144339060496781
B1,qa,precision,minimax,0.13830304453114126
B1,qa,recall,deepseek-v4,0.5529607475696982
B1,qa,recall,deepseek-v4-pro,0.4592750241893131
B1,qa,recall,minimax,0.8296461052487809
B1,qa,rouge_l,deepseek-v4,0.24816217842237603
B1,qa,rouge_l,deepseek-v4-pro,0.2418421085745243
B1,qa,rouge_l,minimax,0.13038231339298073
B1,qa,bleu,deepseek-v4,0.10895404442433727
B1,qa,bleu,deepseek-v4-pro,0.09624736932969911
B1,qa,bleu,minimax,0.044103620184587494
B1,qa,bertscore,deepseek-v4,0.8903010860085487
B1,qa,bertscore,deepseek-v4-pro,0.7810644507408142
B1,qa,bertscore,minimax,0.8534399792551994
B1,qa,semantic_similarity,deepseek-v4,0.8389575332403183
B1,qa,semantic_similarity,deepseek-v4-pro,0.7327552223578095
B1,qa,semantic_similarity,minimax,0.7940001115202904
B1,multiple_choice,accuracy,deepseek-v4,1.0
B1,multiple_choice,accuracy,deepseek-v4-pro,1.0
B1,multiple_choice,accuracy,minimax,
B1,multiple_choice,invalid_rate,deepseek-v4,0.0
B1,multiple_choice,invalid_rate,deepseek-v4-pro,0.0
B1,multiple_choice,invalid_rate,minimax,1.0
Bfull,qa,semantic_accuracy,deepseek-v4,0.4444444444444444
Bfull,qa,semantic_accuracy,deepseek-v4-pro,0.3333333333333333
Bfull,qa,semantic_accuracy,minimax,0.1111111111111111
Bfull,qa,exact_match,deepseek-v4,0.0
Bfull,qa,exact_match,deepseek-v4-pro,0.0
Bfull,qa,exact_match,minimax,0.0
Bfull,qa,f1,deepseek-v4,0.48575683758705324
Bfull,qa,f1,deepseek-v4-pro,0.4241965594715323
Bfull,qa,f1,minimax,0.25424938858998813
Bfull,qa,precision,deepseek-v4,0.49293262416669287
Bfull,qa,precision,deepseek-v4-pro,0.4582755214014307
Bfull,qa,precision,minimax,0.15850676401664468
Bfull,qa,recall,deepseek-v4,0.5216553160350491
Bfull,qa,recall,deepseek-v4-pro,0.4591937414954013
Bfull,qa,recall,minimax,0.7624200567994621
Bfull,qa,rouge_l,deepseek-v4,0.24195905715587548
Bfull,qa,rouge_l,deepseek-v4-pro,0.20843023495764795
Bfull,qa,rouge_l,minimax,0.12865926961843818
Bfull,qa,bleu,deepseek-v4,0.08215052778984107
Bfull,qa,bleu,deepseek-v4-pro,0.06889257135794145
Bfull,qa,bleu,minimax,0.04364822605692836
Bfull,qa,bertscore,deepseek-v4,0.8829848335848914
Bfull,qa,bertscore,deepseek-v4-pro,0.8282844457361433
Bfull,qa,bertscore,minimax,0.8490313589572906
Bfull,qa,semantic_similarity,deepseek-v4,0.8246435423692068
Bfull,qa,semantic_similarity,deepseek-v4-pro,0.7576174156533347
Bfull,qa,semantic_similarity,minimax,0.7921465701527066
Bfull,multiple_choice,accuracy,deepseek-v4,1.0
Bfull,multiple_choice,accuracy,deepseek-v4-pro,1.0
Bfull,multiple_choice,accuracy,minimax,
Bfull,multiple_choice,invalid_rate,deepseek-v4,0.16666666666666666
Bfull,multiple_choice,invalid_rate,deepseek-v4-pro,0.16666666666666666
Bfull,multiple_choice,invalid_rate,minimax,1.0
